"X","ï..OID_","sit_d","trns_","date","crw_n","year","pnt_n","crd_q","wtr__","bttm_","sbst_","org__","unvg_","ttl__","stn__","dtrt_","varbl","Hyd__","Phrgmts_st","Phrgmts__1","Typh_n","Typh_g","Typh_l","Typ__","typh_","st_nm","conty","crw_c","obsrv","qa_dn","qr_fl","berng","wdth_md","wdth_mr","wdth_s","cmmnt","NEAR_FID","NEAR_DIST","MeanFetch","SD_Fetch","MeanREI","SD_REI","UTM_X","UTM_Y","EFB_cover","typ_cover","hyd_bin"
185,184,1306,1,"7/24/2019","CMU",2019,9,"Confirmed",70,"NV","Or/Sa",1,5,95,2,100,"percent_cover",0,0,0,0,3,0,0,3,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,166,4,18,66,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,1716.84863706,0,0,0,0,550080.766954552,4799142.83024231,0,0.03,0
186,185,1306,1,"7/24/2019","CMU",2019,10,"Confirmed",64,"NV","Or/Sa",6,9,91,6,100,"percent_cover",0,0,0,0,20,0,0,20,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,166,4,18,66,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,1717.37002542,0,0,0,0,550081.683201015,4799139.50518068,0,0.2,0
199,198,1306,2,"7/24/2019","CMU",2019,6,"Confirmed",47,"NV","Cly/Slt",22,45,55,68,100,"percent_cover",0,0,0,0,47,0,0,47,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,332,0,166,7,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,2011.22376593,0,0,0,0,550381.844655208,4799084.42595081,0,0.47,0
200,199,1306,2,"7/24/2019","CMU",2019,7,"Confirmed",64,"NV","Cly/Slt",7,46,54,75,100,"percent_cover",0,0,0,0,53,0,0,53,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,332,0,166,7,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,1996.78463576,0,0,0,0,550365.717484342,4799105.74075428,0,0.53,0
201,200,1306,2,"7/24/2019","CMU",2019,8,"Confirmed",74,"NV","Cly/Slt",26,57,43,10,100,"percent_cover",0,0,0,0,43,0,0,43,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,332,0,166,7,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,1983.88392743,0,0,0,0,550350.888094585,4799126.95419172,0,0.43,0
202,201,1306,2,"7/24/2019","CMU",2019,9,"Confirmed",54,"NV","Cly/Slt",41,65,35,14,100,"percent_cover",0,0,0,0,33,0,0,33,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,332,0,166,7,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,1973.48266841,0,0,0,0,550337.980936199,4799151.2916851,0,0.33,0
203,202,1306,2,"7/24/2019","CMU",2019,10,"Confirmed",49,"NV","Cly/Slt",13,34,66,23,100,"percent_cover",0,0,0,0,65,0,0,65,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,332,0,166,7,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,1963.51201462,0,0,0,0,550325.240104905,4799175.07513211,0,0.65,0
216,215,1306,3,"7/24/2019","CMU",2019,6,"Confirmed",31,"NV","Cly/Slt",15,10,90,33,100,"percent_cover",0,10,0,0,20,0,0,20,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,170,6,64,7,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,2366.19328858,0,0,0,0,550717.8508883,4799276.51855907,0,0.2,0
217,216,1306,3,"7/24/2019","CMU",2019,7,"Confirmed",35,"NV","Cly/Slt",14,75,25,30,100,"percent_cover",0,0,0,0,24,0,0,24,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,170,6,64,7,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,2371.21246525,0,0,0,0,550724.41495151,4799265.90585176,0,0.24,0
218,217,1306,3,"7/24/2019","CMU",2019,8,"Confirmed",40,"NV","Cly/Slt",20,78,22,28,100,"percent_cover",0,0,0,0,22,0,0,22,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,170,6,64,7,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,2374.6211236,0,0,0,0,550729.017968424,4799257.38861747,0,0.22,0
219,218,1306,3,"7/24/2019","CMU",2019,9,"Confirmed",49,"NV","Or/Sa",20,67,33,33,100,"percent_cover",0,0,0,0,33,0,0,33,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,170,6,64,7,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,2375.47373305,0,0,0,0,550731.200263801,4799247.40943265,0,0.33,0
220,219,1306,3,"7/24/2019","CMU",2019,10,"Confirmed",51,"NV","Cly/Slt",15,55,45,19,100,"percent_cover",0,0,0,0,45,0,0,45,"Duck Lake Wetland","Muskegon","B. Wheelock","M. Kendziorski",1,0,170,6,64,7,"T1: In the wet meadow, there was canopy tree cover over all quadrats. Iris versicolor found outside points. There was a patch of Schoenoplectus pungens and S. tabernaemontanae at the typha edge. Narrow sampling procedure was used for the wet meadow zone.",200,2378.27424575,0,0,0,0,550735.243432139,4799237.8884497,0,0.45,0
354,353,1478,3,"6/24/2019","NRRI/UWS",2019,5,"Excellent",0,"Dry","Sand",0,95,5,0,30,"percent_cover",0,0,0,0,3,0,0,3,"Fox Park Wetland","Menominee","R. Rutherford","J. Rutherford",1,0,140,2,0,0,"Transect 1: T survey of wetland swale behind dune ridge.",175,7367.07696472,17460.3300781,2914.0700684,85031.796875,20948,475935.726074104,5035471.21294759,0,0.03,0
395,394,1488,2,"6/24/2019","NRRI/UWS",2019,14,"Excellent",190,"NV","Sand",70,97,3,0,0,"percent_cover",0,0,0,1,0,0,0,1,"Days River Wetlands","Delta","R. Rutherford","J. Rutherford",1,0,0,90,0,80," ",188,16366.0730109,739.796630859,65.5995026,3622.9199219,407.5870056,501276.28789715,5082556.39021761,0,0.01,0
396,395,1488,2,"6/24/2019","NRRI/UWS",2019,15,"Excellent",200,"NV","Sand",80,80,20,0,0,"percent_cover",0,0,0,4,0,0,0,4,"Days River Wetlands","Delta","R. Rutherford","J. Rutherford",1,0,0,90,0,80," ",188,16362.0041454,807.864562988,62.6827011,3920.0400391,392.178009,501285.594787649,5082567.39152315,0,0.04,0
401,400,1488,3,"6/24/2019","NRRI/UWS",2019,6,"Excellent",130,"NV","Sand",10,95,5,10,10,"percent_cover",0,0,0,0,5,0,0,5,"Days River Wetlands","Delta","R. Rutherford","J. Rutherford",1,0,70,0,35,75," ",188,16381.4682488,2030.63647461,306.7390137,11005.7998047,2318.5600586,501097.696672468,5082176.48863081,0,0.05,0
402,401,1488,3,"6/24/2019","NRRI/UWS",2019,7,"Excellent",140,"NV","Sand",8,97,3,8,5,"percent_cover",0,0,0,0,2,0,0,2,"Days River Wetlands","Delta","R. Rutherford","J. Rutherford",1,0,70,0,35,75," ",188,16359.5096781,2043.25488281,306.5119934,11129.0996094,2317.3300781,501121.203882528,5082175.93731983,0,0.02,0
403,402,1488,3,"6/24/2019","NRRI/UWS",2019,8,"Excellent",150,"NV","Sand",10,90,10,15,0,"percent_cover",0,0,0,0,10,0,0,10,"Days River Wetlands","Delta","R. Rutherford","J. Rutherford",1,0,70,0,35,75," ",188,16367.1149728,2043.25488281,306.5119934,11129.0996094,2317.3300781,501113.988388634,5082178.38032224,0,0.1,0
409,408,1489,1,"6/22/2019","NRRI/UWS",2019,8,"Excellent",90,"NV","Sand",15,80,20,100,20,"percent_cover",0,0,0,0,20,0,0,20,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,65,25,125,0,"Very high water, standing water in Meadow zone.",129,2958.45907284,1277.88452148,179.3699951,6081.2099609,1152.4799805,495220.997690419,5069579.62870457,0,0.2,0
410,409,1489,1,"6/22/2019","NRRI/UWS",2019,9,"Excellent",74,"NV","Sand",68,75,25,90,20,"percent_cover",0,0,0,0,20,0,0,20,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,65,25,125,0,"Very high water, standing water in Meadow zone.",129,2967.58427466,1312.20031738,178.0110016,6290.1499023,1153.3299561,495238.649540159,5069586.2813137,0,0.2,0
411,410,1489,1,"6/22/2019","NRRI/UWS",2019,10,"Excellent",75,"NV","Sand",24,50,50,15,30,"percent_cover",0,0,0,0,10,0,0,10,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,65,25,125,0,"Very high water, standing water in Meadow zone.",129,2978.56688858,1312.20031738,178.0110016,6290.1499023,1153.3299561,495257.080011731,5069594.59991806,0,0.1,0
424,423,1489,2,"6/22/2019","NRRI/UWS",2019,7,"Excellent",39,"V","Sand",21,75,25,3,40,"percent_cover",0,0,0,0,2,0,0,2,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,120,175,220,0,"Very high water, standing water in Meadow zone.",129,3441.55031216,3143.83837891,205.4730072,13492.7001953,1429.5699463,495291.791136756,5070057.31611361,0,0.02,0
425,424,1489,2,"6/22/2019","NRRI/UWS",2019,9,"Excellent",125,"V","Sand",5,75,25,5,60,"percent_cover",0,0,0,0,25,0,0,25,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,120,175,220,0,"Very high water, standing water in Meadow zone.",129,3412.17729503,3495.43041992,227.7070007,15301.9003906,1599.5,495356.202219339,5070017.71508524,0,0.25,0
430,429,1489,3,"6/22/2019","NRRI/UWS",2019,6,"Excellent",72,"NV","Sand",8,70,30,10,90,"percent_cover",0,0,0,0,25,0,0,25,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,170,65,115,50,"Very high water, standing water in Meadow zone.",129,3680.63909286,0,0,0,0,494532.260505024,5070321.02930484,0,0.25,0
431,430,1489,3,"6/22/2019","NRRI/UWS",2019,7,"Excellent",77,"NV","Sand",42,70,30,20,20,"percent_cover",0,0,0,0,30,0,0,30,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,170,65,115,50,"Very high water, standing water in Meadow zone.",129,3663.56147962,0,0,0,0,494536.831806331,5070304.24876581,0,0.3,0
432,431,1489,3,"6/22/2019","NRRI/UWS",2019,8,"Excellent",115,"NV","Sand",10,85,15,1,5,"percent_cover",0,1,0,0,12,0,0,12,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,170,65,115,50,"Very high water, standing water in Meadow zone.",129,3645.13047239,0,0,0,0,494544.822281766,5070286.35420024,0,0.12,0
433,432,1489,3,"6/22/2019","NRRI/UWS",2019,9,"Excellent",120,"NV","Sand",15,70,30,20,5,"percent_cover",0,0,0,0,25,0,0,25,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,170,65,115,50,"Very high water, standing water in Meadow zone.",129,3635.04689802,0,0,0,0,494546.290377824,5070276.35366283,0,0.25,0
434,433,1489,3,"6/22/2019","NRRI/UWS",2019,10,"Excellent",140,"NV","Sand",10,95,5,5,5,"percent_cover",0,0,0,10,0,0,0,10,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,170,65,115,50,"Very high water, standing water in Meadow zone.",129,3616.95385785,0,0,0,0,494551.249525644,5070258.57287048,0,0.1,0
435,434,1489,3,"6/22/2019","NRRI/UWS",2019,11,"Excellent",150,"NV","Sand",10,93,7,0,0,"percent_cover",0,0,0,1,0,0,0,1,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,170,65,115,50,"Very high water, standing water in Meadow zone.",129,3603.64100413,0,0,0,0,494554.502716135,5070245.45989321,0,0.01,0
436,435,1489,3,"6/22/2019","NRRI/UWS",2019,12,"Excellent",150,"NV","Sand",10,90,10,0,0,"percent_cover",0,0,0,2,0,0,0,2,"Escanaba River Wetland","Delta","R. Rutherford","J. Rutherford",1,0,170,65,115,50,"Very high water, standing water in Meadow zone.",129,3598.77266535,0,0,0,0,494557.53012372,5070240.79092508,0,0.02,0
572,571,1563,2,"9/4/2019","CMU",2019,9,"Confirmed",40,"V","Sand",0,50,50,0.5,0.5,"percent_cover",0,0,0,0,50,0,0,50,"Millecoquins Point Wetland","Mackinac","J. Dybiec","B. Wheelock",1,0,85,0,33,26,"T1: Narrow sampling protocol was used for the emergent zone. There were small patches of Typha in the emergent zone. , T3: There was a mini treeline, and behind it were dominant sedges and sparse grasses that were lying down flat due to waves. At meadow",80,283.748181679,2207.02197266,281.9809875,9530.7900391,1783.6899414,620020.250220656,5105083.53644176,0,0.5,0
578,577,1563,3,"9/4/2019","CMU",2019,2,"Confirmed",0,"V","Sand",19,0,100,40,60,"percent_cover",0,0,0,0,90,0,0,90,"Millecoquins Point Wetland","Mackinac","J. Dybiec","B. Wheelock",1,0,73,30,28,24,"T1: Narrow sampling protocol was used for the emergent zone. There were small patches of Typha in the emergent zone. , T3: There was a mini treeline, and behind it were dominant sedges and sparse grasses that were lying down flat due to waves. At meadow",80,231.060307597,1116.70336914,154.6869965,4964.0200195,985.3930054,620015.270135758,5104986.07229405,0,0.9,0
579,578,1563,3,"9/4/2019","CMU",2019,3,"Confirmed",0,"V","Sand",35,0,100,1,100,"percent_cover",0,0,0,0,2,0,0,2,"Millecoquins Point Wetland","Mackinac","J. Dybiec","B. Wheelock",1,0,73,30,28,24,"T1: Narrow sampling protocol was used for the emergent zone. There were small patches of Typha in the emergent zone. , T3: There was a mini treeline, and behind it were dominant sedges and sparse grasses that were lying down flat due to waves. At meadow",80,227.878297502,648.452453613,91.5561981,2995.7900391,588.3480225,620019.124717182,5104986.70329876,0,0.02,0
580,579,1563,3,"9/4/2019","CMU",2019,6,"Confirmed",47,"V","Sand",0,68,32,1,5,"percent_cover",0,0,1,0,0,0,0,0,"Millecoquins Point Wetland","Mackinac","J. Dybiec","B. Wheelock",1,0,73,30,28,24,"T1: Narrow sampling protocol was used for the emergent zone. There were small patches of Typha in the emergent zone. , T3: There was a mini treeline, and behind it were dominant sedges and sparse grasses that were lying down flat due to waves. At meadow",80,214.562281712,648.452453613,91.5561981,2995.7900391,588.3480225,620040.63578934,5104998.01597555,0,0,0
581,580,1563,3,"9/4/2019","CMU",2019,7,"Confirmed",58,"V","Sand",4,65,35,0,2,"percent_cover",0,0,5,0,0,0,0,0,"Millecoquins Point Wetland","Mackinac","J. Dybiec","B. Wheelock",1,0,73,30,28,24,"T1: Narrow sampling protocol was used for the emergent zone. There were small patches of Typha in the emergent zone. , T3: There was a mini treeline, and behind it were dominant sedges and sparse grasses that were lying down flat due to waves. At meadow",80,214.706284948,648.452453613,91.5561981,2995.7900391,588.3480225,620042.956408956,5105001.95152413,0,0,0
582,581,1563,3,"9/4/2019","CMU",2019,8,"Confirmed",75,"V","Sand",0,20,80,15,35,"percent_cover",0,0,5,0,65,0,0,65,"Millecoquins Point Wetland","Mackinac","J. Dybiec","B. Wheelock",1,0,73,30,28,24,"T1: Narrow sampling protocol was used for the emergent zone. There were small patches of Typha in the emergent zone. , T3: There was a mini treeline, and behind it were dominant sedges and sparse grasses that were lying down flat due to waves. At meadow",80,214.130382347,1161.75439453,156.3359985,5202.4199219,993.7150269,620046.432310616,5105006.13193409,0,0.65,0
607,606,1586,1,"8/14/2019","CMU",2019,5,"Confirmed",47,"V","Sand",9,0,100,60,100,"percent_cover",0,0,0,0,5,0,0,5,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,84,112,210,48,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14269.1348668,221.798278809,24.6707993,1073.9100342,157.2899933,639829.790047577,5101804.73448216,0,0.05,0
608,607,1586,1,"8/14/2019","CMU",2019,6,"Confirmed",81,"V","Sand",4,92,8,10,30,"percent_cover",0,0,5,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,84,112,210,48,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14204.7748162,247.675186157,23.3236008,1218.8800049,151.5469971,639897.07240277,5101806.93072784,0,0,0
609,608,1586,1,"8/14/2019","CMU",2019,7,"Confirmed",86,"V","Sand",6,40,60,12,100,"percent_cover",0,60,0,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,84,112,210,48,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14177.3397446,265.38583374,22.7653008,1324.3800049,149.6759949,639928.40775103,5101817.5367476,0,0,0
610,609,1586,1,"8/14/2019","CMU",2019,10,"Excellent",115,"V","Sand",5,75,25,0,5,"percent_cover",0,0,0.5,0,0,0,0,0,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,84,112,210,48,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14106.5859049,416.007995605,27.8066006,2025.2299805,181.5529938,640014.865422948,5101864.74692297,0,0,0
616,615,1586,2,"8/14/2019","CMU",2019,6,"Confirmed",67,"V","Sand",2,50,50,5,15,"percent_cover",0,0,0,0,35,0,0,35,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,110,27,113,104,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14155.9244652,2335.47338867,218.9259949,9537.7099609,1115.8100586,640074.590633486,5102243.06193946,0,0.35,0
617,616,1586,2,"8/14/2019","CMU",2019,10,"Confirmed",104,"V","Sand",14,70,30,1,10,"percent_cover",0,0,5,0,10,0,0,10,"Epoufette Bay Wetland #1","Mackinac","J. Dybiec","D. Mokris",1,0,110,27,113,104,"Transect 1: moss in point 2 & 3 was brown but not decaying; camera died after point 15 (no pics pt. 6-14); , Transect 3: no picture for 1134 (emergent pt. 9);",151,14078.3138015,2532.26611328,224.9440002,10411.5,1145.0200195,640147.773240811,5102217.04872998,0,0.1,0
643,642,1598,1,"8/12/2019","CMU",2019,4,"Confirmed",35,"V","Pb/Cb/Bld",25,25,75,52,20,"percent_cover",0,0,0,10,0,0,0,10,"Point St. Ignace Wetland","Mackinac","J. Dybiec","D. Mokris",1,0,162,18,381,30,"Transect 1: No pics for submergent The plant is Riccia fluitans, not Riccia sp. DAA 02-27-2020, Transect 2: No pics for submergent; detritus in submergent was all dead Potamogeton , Transect 3: No pic at point 1088; north of emergent zone was large stand",139,2651.97752457,2394.09545898,533.7459717,12271,2813.0100098,675355.515135156,5079634.36619721,0,0.1,0
644,643,1598,1,"8/12/2019","CMU",2019,6,"Confirmed",99,"NV","Cly/Slt",14,33,65,12,40,"percent_cover",0,0,0,4,52,0,0,56,"Point St. Ignace Wetland","Mackinac","J. Dybiec","D. Mokris",1,0,162,18,381,30,"Transect 1: No pics for submergent The plant is Riccia fluitans, not Riccia sp. DAA 02-27-2020, Transect 2: No pics for submergent; detritus in submergent was all dead Potamogeton , Transect 3: No pic at point 1088; north of emergent zone was large stand",139,2698.31655507,2392.64648438,532.8439941,12259.9003906,2812.0800781,675364.901363938,5079569.02946851,0,0.56,0
645,644,1598,1,"8/12/2019","CMU",2019,7,"Confirmed",110,"NV","Cly/Slt",19,0,100,21,100,"percent_cover",0,0,0,23,0,0,0,23,"Point St. Ignace Wetland","Mackinac","J. Dybiec","D. Mokris",1,0,162,18,381,30,"Transect 1: No pics for submergent The plant is Riccia fluitans, not Riccia sp. DAA 02-27-2020, Transect 2: No pics for submergent; detritus in submergent was all dead Potamogeton , Transect 3: No pic at point 1088; north of emergent zone was large stand",139,2745.2445657,2540.73022461,556.0100098,12997.2001953,2912.0300293,675368.568460353,5079508.08971614,0,0.23,0
646,645,1598,1,"8/12/2019","CMU",2019,8,"Confirmed",110,"NV","Sand",0,0,100,0,10,"percent_cover",0,0,0,40,10,0,0,50,"Point St. Ignace Wetland","Mackinac","J. Dybiec","D. Mokris",1,0,162,18,381,30,"Transect 1: No pics for submergent The plant is Riccia fluitans, not Riccia sp. DAA 02-27-2020, Transect 2: No pics for submergent; detritus in submergent was all dead Potamogeton , Transect 3: No pic at point 1088; north of emergent zone was large stand",139,2800.29853635,2683.80175781,572.5859985,13643.4003906,2968.6799316,675363.226590225,5079444.22647338,0,0.5,0
647,646,1598,1,"8/12/2019","CMU",2019,9,"Confirmed",125,"NV","Cly/Slt",11,0,100,0,30,"percent_cover",0,0,0,70,0,0,0,70,"Point St. Ignace Wetland","Mackinac","J. Dybiec","D. Mokris",1,0,162,18,381,30,"Transect 1: No pics for submergent The plant is Riccia fluitans, not Riccia sp. DAA 02-27-2020, Transect 2: No pics for submergent; detritus in submergent was all dead Potamogeton , Transect 3: No pic at point 1088; north of emergent zone was large stand",139,2840.28778498,2920.35351563,578.0209961,14848.0996094,2921.3500977,675378.344314675,5079385.05622647,0,0.7,0
